appid,name
740600,Gachimuchi
741060,The Norwood Suite Demo
740230,Just Ski
740290,Irony Of Nightmare
740310,Transmogrify
740210,"Sorry, James Demo"
739730,Awe of Despair
738920,Sexy Serial Killer
739030,The Fog
739010,The Blue Box
739130,The Executioner
739540,Break the Game
739240,The Ghosts of Hackney Mills
739270,Cradle of Links VR
738560,Fariwalk: The Prelude
739220,Ark Noir
738880,Pain of War
738190,Morth
738060,Freddy Fazbear's Pizzeria Simulator
738110,Fantasy Grounds - Deadlands Reloaded: Guess Who's Coming to Donner? (Savage Worlds)
736250,Amberskull
736470,The Godbeast
736570,The Crooked Man
736090,Organ Quarter Soundtrack
736110,Deep Sorrow
736190,Chinese Parents
736200,Nana in the Dark
735490,The Dreams of Candlelight
735650,One More Night: BiO Clinic
735110,Defenders of Tetsoidea
734580,BattleRush
733800,Frosty Nights
733990,I Can't Believe It's Not Gambling GOTY Edition
734120,Bonbon
734060,Emily Wants to Play Too Demo
733300,My Big Sister
733670,Award. Room of fear
733740,Sakura Cupid
733210,Neversong
733230,Cyber Arena
732040,Corridor 15 First
731590,Midnight Ultra
731720,DOOMED
731790,Fly Destroyer
731890,Horror Hunt
730000,Bendy and the Ink Machine: Chapter Four
730030,Ultimate Spinner Simulator - Unstress Yourself
729850,Hide and Shriek - Mask Pack
729660,Blackout Z: Slaughterhouse Edition
729720,Zomborg
729060,Silent Descent
729300,Cleansuit
729320,The Succubi Trap
728050,❂ Heroes of Hexaluga ❂
727640,ШП (ShP)
727720,Found Horror Game 11.exe
727690,PAIN-TO-WIN
727820,Fantasy Grounds - Investigator Handbook (CoC7E)
727170,Old School FOTD
727340,Stitched HD
726800,The Rare Nine
726870,Anchorhead
726920,Oats Studios - Volume 1: ADAM: Episode 2
726250,Unknightly
726830,Vacation Simulator
726430,Creeping Terror
726390,Scream Collector
726510,Heads Run
726530,Operation Warcade VR Demo
725780,PLAY WITH ME
726100,Queen's Garden: Halloween
725080,Fearful Symmetry & The Cursed Prince
725280,Psi Project
725330,Zelle
724950,Hope is in 23
724370,HalfLight
723810,Don't Bleed
724010,House of Velez - part 1
723190,Sniper Hunter Adventure 3D
723380,Wraith
723350,Hell Shooter
723070,Scrolls of the Lord
722540,Banana Town
722040,Cargo Breach
722180,SURV1V3
722350,Light of Mine
722400,Record Store Nightmare
722010,B A S E M E N T
721330,Bound To Light Demo
721460,Xeno Time Inception
720730,Without Escape
720940,Horns of Fear
720250,Welcome to the Game II
720280,Fox Hime
720350,Mundaun
719750,PUSS!
720560,Vigil: The Longest Night
720030,Indecision.
719300,Daemonsgate
718970,Gone Astray
719080,Fart Simulator 2018
717560,Lucifer Within Us
717670,The Occupant
717020,Drosoph Hotel
717250,Doki Doki Literature Club Fan Pack
716760,Dream Alone
716000,Space Dragon
716150,Nakawak: Expanded Color Edition
715750,Follow My Footsteps Demo
715380,Those Who Remain
715370,Fidget Spinner Editor
715020,Elden: Path of the Forgotten
714070,Entropy : Zero
714120,Little Misfortune
714100,Live2D VR Girls
